,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country
0,constitucion,-35.33,-72.42,59.32,78,0,7,CL
1,kaitangata,-46.28,169.85,53.69,62,5,8.37,NZ
2,port elizabeth,-33.92,25.57,57.2,87,100,4.7,ZA
3,onda,39.97,-0.25,59,79,0,3.69,ES
4,presidencia roque saenz pena,-26.79,-60.44,61.3,54,0,6.11,AR
5,esperance,-33.87,121.9,57.2,82,75,9.17,AU
6,kalmunai,7.42,81.82,81.27,76,87,3.78,LK
8,lebu,-37.62,-73.65,55.89,93,0,3.13,CL
10,mataura,-46.19,168.86,52.14,70,14,6.22,NZ
11,mar del plata,-38,-57.56,57,93,51,2.24,AR
12,sinegorye,62.08,150.48,35.46,89,99,4.65,RU
14,mahebourg,-20.41,57.7,73.4,73,75,9.17,MU
15,mitsamiouli,-11.38,43.28,79.57,77,63,11.86,KM
16,alihe,50.57,123.72,65.14,27,100,3.76,CN
17,emerald,-23.53,148.17,73,56,74,16.11,AU
18,punta arenas,-53.15,-70.92,33.8,87,40,3.36,CL
19,tiksi,71.69,128.87,33.71,95,100,10.02,RU
20,busselton,-33.65,115.33,50,98,4,11.92,AU
21,nizhniy odes,63.64,54.86,43.12,70,100,6.26,RU
22,piacabucu,-10.41,-36.43,77.38,85,0,6.08,BR
23,port-cartier,50.03,-66.87,51.8,74,40,5.82,CA
24,rikitea,-23.12,-134.97,77.83,84,99,13.04,PF
25,tautira,-17.73,-149.15,87.8,66,20,9.17,PF
26,rabo de peixe,37.8,-25.58,64.4,93,75,4.7,PT
28,sapulpa,36,-96.11,75.2,60,1,8.52,US
29,iqaluit,63.75,-68.51,35.6,74,90,13.87,CA
30,albany,42.6,-73.97,66.99,59,99,3.24,US
31,fairbanks,64.84,-147.72,55,22,1,9.17,US
32,inhambane,-23.86,35.38,66.33,74,0,3.71,MZ
33,maxixe,-23.86,35.35,64.96,77,0,2.93,MZ
34,biggar,55.62,-3.52,51.01,47,100,1.01,GB
35,port alfred,-33.59,26.89,57.99,71,100,9.01,ZA
36,san cristobal,7.77,-72.22,68,89,65,4.21,VE
37,esqueda,30.72,-109.58,85.17,14,0,15.5,MX
38,caucaia,-3.74,-38.65,80.6,78,96,2.24,BR
39,ponta do sol,32.67,-17.1,64.4,72,40,13.87,PT
40,timra,62.49,17.33,37,86,92,2.24,SE
41,cape town,-33.93,18.42,59,93,100,6.93,ZA
42,pisco,-13.7,-76.22,64.4,88,1,10.29,PE
43,dikson,73.51,80.55,33.71,99,100,14.38,RU
44,hermanus,-34.42,19.23,59.58,81,100,6.2,ZA
45,ushuaia,-54.8,-68.3,39.2,64,4,5.82,AR
48,atuona,-9.8,-139.03,80.49,76,8,14.61,PF
49,portland,45.52,-122.68,69.01,52,75,12.75,US
50,san ramon,37.78,-121.98,69.01,63,90,16.11,US
51,butaritari,3.07,172.79,83.73,77,0,13.62,KI
52,bredasdorp,-34.53,20.04,53.6,87,100,3.36,ZA
53,bluff,-46.6,168.33,51.24,66,51,11.86,NZ
54,pringsewu,-5.36,104.97,78.57,85,100,0.47,ID
55,smyrna,33.88,-84.51,78.8,78,90,11.41,US
56,alofi,-19.06,-169.92,80.6,69,100,9.17,NU
57,kodiak,57.79,-152.41,57.2,50,1,9.17,US
